,season,rank_pub_date,team,rank,last_updated
272,2019,2019-01-28,Auburn,16,2019-11-22 21:34:27.241391
273,2019,2019-02-04,Auburn,16,2019-11-22 21:34:27.241391
274,2019,2019-02-11,Auburn,16,2019-11-22 21:34:27.241391
275,2019,2019-02-18,Auburn,16,2019-11-22 21:34:27.241391
276,2019,2019-02-25,Auburn,16,2019-11-22 21:34:27.241391
277,2019,2019-03-04,Auburn,16,2019-11-22 21:34:27.241391
278,2019,2019-03-11,Auburn,22,2019-11-22 21:34:27.241391
279,2019,2019-05-01,Auburn,14,2019-11-22 21:34:27.241391
280,2019,2018-11-01,Buffalo,14,2019-11-22 21:34:27.241391
281,2019,2018-11-12,Buffalo,25,2019-11-22 21:34:27.241391
282,2019,2018-11-19,Buffalo,22,2019-11-22 21:34:27.241391
283,2019,2018-11-26,Buffalo,21,2019-11-22 21:34:27.241391
284,2019,2018-12-03,Buffalo,17,2019-11-22 21:34:27.241391
285,2019,2018-12-10,Buffalo,14,2019-11-22 21:34:27.241391
286,2019,2018-12-17,Buffalo,14,2019-11-22 21:34:27.241391
287,2019,2018-12-24,Buffalo,21,2019-11-22 21:34:27.241391
288,2019,2018-12-31,Buffalo,20,2019-11-22 21:34:27.241391
289,2019,2019-01-07,Buffalo,19,2019-11-22 21:34:27.241391
290,2019,2019-01-14,Buffalo,16,2019-11-22 21:34:27.241391
291,2019,2019-01-21,Buffalo,14,2019-11-22 21:34:27.241391
292,2019,2019-01-28,Buffalo,18,2019-11-22 21:34:27.241391
293,2019,2019-02-04,Buffalo,23,2019-11-22 21:34:27.241391
294,2019,2019-02-11,Buffalo,25,2019-11-22 21:34:27.241391
295,2019,2019-02-18,Buffalo,25,2019-11-22 21:34:27.241391
296,2019,2019-02-25,Buffalo,21,2019-11-22 21:34:27.241391
297,2019,2019-03-04,Buffalo,19,2019-11-22 21:34:27.241391
298,2019,2019-03-11,Buffalo,18,2019-11-22 21:34:27.241391
299,2019,2019-05-01,Buffalo,15,2019-11-22 21:34:27.241391
300,2019,2018-11-01,Virginia Tech,15,2019-11-22 21:34:27.241391
301,2019,2018-11-12,Virginia Tech,16,2019-11-22 21:34:27.241391
302,2019,2018-11-19,Virginia Tech,13,2019-11-22 21:34:27.241391
303,2019,2018-11-26,Virginia Tech,13,2019-11-22 21:34:27.241391
304,2019,2018-12-03,Virginia Tech,15,2019-11-22 21:34:27.241391
305,2019,2018-12-10,Virginia Tech,13,2019-11-22 21:34:27.241391
306,2019,2018-12-17,Virginia Tech,13,2019-11-22 21:34:27.241391
307,2019,2018-12-24,Virginia Tech,10,2019-11-22 21:34:27.241391
308,2019,2018-12-31,Virginia Tech,10,2019-11-22 21:34:27.241391
309,2019,2019-01-07,Virginia Tech,9,2019-11-22 21:34:27.241391
310,2019,2019-01-14,Virginia Tech,9,2019-11-22 21:34:27.241391
311,2019,2019-01-21,Virginia Tech,10,2019-11-22 21:34:27.241391
312,2019,2019-01-28,Virginia Tech,12,2019-11-22 21:34:27.241391
313,2019,2019-02-04,Virginia Tech,11,2019-11-22 21:34:27.241391
314,2019,2019-02-11,Virginia Tech,22,2019-11-22 21:34:27.241391
315,2019,2019-02-18,Virginia Tech,20,2019-11-22 21:34:27.241391
316,2019,2019-02-25,Virginia Tech,20,2019-11-22 21:34:27.241391
317,2019,2019-03-04,Virginia Tech,15,2019-11-22 21:34:27.241391
318,2019,2019-03-11,Virginia Tech,16,2019-11-22 21:34:27.241391
319,2019,2019-05-01,Virginia Tech,16,2019-11-22 21:34:27.241391
320,2019,2018-11-01,Kansas,1,2019-11-22 21:34:27.241391
321,2019,2018-11-12,Kansas,2,2019-11-22 21:34:27.241391
322,2019,2018-11-19,Kansas,2,2019-11-22 21:34:27.241391
323,2019,2018-11-26,Kansas,2,2019-11-22 21:34:27.241391
324,2019,2018-12-03,Kansas,2,2019-11-22 21:34:27.241391
325,2019,2018-12-10,Kansas,1,2019-11-22 21:34:27.241391
326,2019,2018-12-17,Kansas,1,2019-11-22 21:34:27.241391
327,2019,2018-12-24,Kansas,5,2019-11-22 21:34:27.241391
328,2019,2018-12-31,Kansas,5,2019-11-22 21:34:27.241391
329,2019,2019-01-07,Kansas,7,2019-11-22 21:34:27.241391
330,2019,2019-01-14,Kansas,7,2019-11-22 21:34:27.241391
331,2019,2019-01-21,Kansas,9,2019-11-22 21:34:27.241391
332,2019,2019-01-28,Kansas,11,2019-11-22 21:34:27.241391
333,2019,2019-02-04,Kansas,13,2019-11-22 21:34:27.241391
334,2019,2019-02-11,Kansas,14,2019-11-22 21:34:27.241391
335,2019,2019-02-18,Kansas,12,2019-11-22 21:34:27.241391
336,2019,2019-02-25,Kansas,15,2019-11-22 21:34:27.241391
337,2019,2019-03-04,Kansas,13,2019-11-22 21:34:27.241391
338,2019,2019-03-11,Kansas,17,2019-11-22 21:34:27.241391
339,2019,2019-05-01,Kansas,17,2019-11-22 21:34:27.241391
340,2019,2018-11-01,Kansas State,12,2019-11-22 21:34:27.241391
341,2019,2018-11-12,Kansas State,12,2019-11-22 21:34:27.241391
342,2019,2018-11-19,Kansas State,12,2019-11-22 21:34:27.241391
343,2019,2018-11-26,Kansas State,12,2019-11-22 21:34:27.241391
344,2019,2018-12-03,Kansas State,16,2019-11-22 21:34:27.241391
345,2019,2018-12-10,Kansas State,25,2019-11-22 21:34:27.241391
346,2019,2018-12-17,Kansas State,25,2019-11-22 21:34:27.241391
347,2019,2018-12-24,Kansas State,25,2019-11-22 21:34:27.241391
348,2019,2018-12-31,Kansas State,25,2019-11-22 21:34:27.241391
349,2019,2019-01-07,Kansas State,25,2019-11-22 21:34:27.241391
350,2019,2019-01-14,Kansas State,25,2019-11-22 21:34:27.241391
351,2019,2019-01-21,Kansas State,25,2019-11-22 21:34:27.241391
352,2019,2019-01-28,Kansas State,25,2019-11-22 21:34:27.241391
353,2019,2019-02-04,Kansas State,25,2019-11-22 21:34:27.241391
354,2019,2019-02-11,Kansas State,18,2019-11-22 21:34:27.241391
355,2019,2019-02-18,Kansas State,23,2019-11-22 21:34:27.241391
356,2019,2019-02-25,Kansas State,16,2019-11-22 21:34:27.241391
357,2019,2019-03-04,Kansas State,18,2019-11-22 21:34:27.241391
358,2019,2019-03-11,Kansas State,15,2019-11-22 21:34:27.241391
359,2019,2019-05-01,Kansas State,18,2019-11-22 21:34:27.241391
360,2019,2018-11-01,Wofford,18,2019-11-22 21:34:27.241391
361,2019,2018-11-12,Wofford,18,2019-11-22 21:34:27.241391
362,2019,2018-11-19,Wofford,18,2019-11-22 21:34:27.241391
363,2019,2018-11-26,Wofford,18,2019-11-22 21:34:27.241391
364,2019,2018-12-03,Wofford,18,2019-11-22 21:34:27.241391
365,2019,2018-12-10,Wofford,18,2019-11-22 21:34:27.241391
366,2019,2018-12-17,Wofford,18,2019-11-22 21:34:27.241391
367,2019,2018-12-24,Wofford,18,2019-11-22 21:34:27.241391
368,2019,2018-12-31,Wofford,18,2019-11-22 21:34:27.241391
369,2019,2019-01-07,Wofford,18,2019-11-22 21:34:27.241391
370,2019,2019-01-14,Wofford,18,2019-11-22 21:34:27.241391
371,2019,2019-01-21,Wofford,18,2019-11-22 21:34:27.241391
372,2019,2019-01-28,Wofford,18,2019-11-22 21:34:27.241391
373,2019,2019-02-04,Wofford,18,2019-11-22 21:34:27.241391
374,2019,2019-02-11,Wofford,18,2019-11-22 21:34:27.241391
375,2019,2019-02-18,Wofford,18,2019-11-22 21:34:27.241391
376,2019,2019-02-25,Wofford,24,2019-11-22 21:34:27.241391
377,2019,2019-03-04,Wofford,22,2019-11-22 21:34:27.241391
378,2019,2019-03-11,Wofford,20,2019-11-22 21:34:27.241391
379,2019,2019-05-01,Wofford,19,2019-11-22 21:34:27.241391
380,2019,2018-11-01,Nevada,7,2019-11-22 21:34:27.241391
381,2019,2018-11-12,Nevada,6,2019-11-22 21:34:27.241391
382,2019,2018-11-19,Nevada,6,2019-11-22 21:34:27.241391
383,2019,2018-11-26,Nevada,5,2019-11-22 21:34:27.241391
384,2019,2018-12-03,Nevada,6,2019-11-22 21:34:27.241391
385,2019,2018-12-10,Nevada,7,2019-11-22 21:34:27.241391
386,2019,2018-12-17,Nevada,6,2019-11-22 21:34:27.241391
387,2019,2018-12-24,Nevada,6,2019-11-22 21:34:27.241391
388,2019,2018-12-31,Nevada,6,2019-11-22 21:34:27.241391
389,2019,2019-01-07,Nevada,10,2019-11-22 21:34:27.241391
390,2019,2019-01-14,Nevada,10,2019-11-22 21:34:27.241391
391,2019,2019-01-21,Nevada,7,2019-11-22 21:34:27.241391
392,2019,2019-01-28,Nevada,8,2019-11-22 21:34:27.241391
